Graphe Graphe comprenant 29 noeuds et 406 aretes
  Noeud Noeud 3 (id 3) (donnees: (750.0, 1100.0))
  Noeud Noeud 4 (id 4) (donnees: (750.0, 2030.0))
  Noeud Noeud 5 (id 5) (donnees: (1030.0, 2070.0))
  Noeud Noeud 6 (id 6) (donnees: (1650.0, 650.0))
  Noeud Noeud 7 (id 7) (donnees: (1490.0, 1630.0))
  Noeud Noeud 8 (id 8) (donnees: (790.0, 2260.0))
  Noeud Noeud 9 (id 9) (donnees: (710.0, 1310.0))
  Noeud Noeud 10 (id 10) (donnees: (840.0, 550.0))
  Noeud Noeud 11 (id 11) (donnees: (1170.0, 2300.0))
  Noeud Noeud 12 (id 12) (donnees: (970.0, 1340.0))
  Noeud Noeud 13 (id 13) (donnees: (510.0, 700.0))
  Noeud Noeud 14 (id 14) (donnees: (750.0, 900.0))
  Noeud Noeud 15 (id 15) (donnees: (1280.0, 1200.0))
  Noeud Noeud 16 (id 16) (donnees: (230.0, 590.0))
  Noeud Noeud 17 (id 17) (donnees: (460.0, 860.0))
  Noeud Noeud 18 (id 18) (donnees: (1040.0, 950.0))
  Noeud Noeud 19 (id 19) (donnees: (590.0, 1390.0))
  Noeud Noeud 20 (id 20) (donnees: (830.0, 1770.0))
  Noeud Noeud 21 (id 21) (donnees: (490.0, 500.0))
  Noeud Noeud 22 (id 22) (donnees: (1840.0, 1240.0))
  Noeud Noeud 0 (id 0) (donnees: (1150.0, 1760.0))
  Noeud Noeud 24 (id 24) (donnees: (1280.0, 790.0))
  Noeud Noeud 25 (id 25) (donnees: (490.0, 2130.0))
  Noeud Noeud 26 (id 26) (donnees: (1460.0, 1420.0))
  Noeud Noeud 27 (id 27) (donnees: (1260.0, 1910.0))
  Noeud Noeud 28 (id 28) (donnees: (360.0, 1980.0))
  Noeud Noeud 1 (id 1) (donnees: (630.0, 1660.0))
  Noeud Noeud 2 (id 2) (donnees: (40.0, 2090.0))
  Noeud Noeud 23 (id 23) (donnees: (1260.0, 1500.0))
  Arete 247 (poids : 129) (noeuds : Noeud Noeud 1 (id 1) (donnees: (630.0, 1660.0)), Noeud Noeud 2 (id 2) (donnees: (40.0, 2090.0)))
  Arete 311 (poids : 220) (noeuds : Noeud Noeud 6 (id 6) (donnees: (1650.0, 650.0)), Noeud Noeud 0 (id 0) (donnees: (1150.0, 1760.0)))
  Arete 312 (poids : 110) (noeuds : Noeud Noeud 14 (id 14) (donnees: (750.0, 900.0)), Noeud Noeud 16 (id 16) (donnees: (230.0, 590.0)))
  Arete 250 (poids : 216) (noeuds : Noeud Noeud 10 (id 10) (donnees: (840.0, 550.0)), Noeud Noeud 22 (id 22) (donnees: (1840.0, 1240.0)))
  Arete 251 (poids : 168) (noeuds : Noeud Noeud 12 (id 12) (donnees: (970.0, 1340.0)), Noeud Noeud 25 (id 25) (donnees: (490.0, 2130.0)))
  Arete 315 (poids : 120) (noeuds : Noeud Noeud 19 (id 19) (donnees: (590.0, 1390.0)), Noeud Noeud 0 (id 0) (donnees: (1150.0, 1760.0)))
  Arete 253 (poids : 52) (noeuds : Noeud Noeud 5 (id 5) (donnees: (1030.0, 2070.0)), Noeud Noeud 27 (id 27) (donnees: (1260.0, 1910.0)))
  Arete 317 (poids : 158) (noeuds : Noeud Noeud 7 (id 7) (donnees: (1490.0, 1630.0)), Noeud Noeud 24 (id 24) (donnees: (1280.0, 790.0)))
  Arete 318 (poids : 220) (noeuds : Noeud Noeud 27 (id 27) (donnees: (1260.0, 1910.0)), Noeud Noeud 2 (id 2) (donnees: (40.0, 2090.0)))
  Arete 256 (poids : 78) (noeuds : Noeud Noeud 25 (id 25) (donnees: (490.0, 2130.0)), Noeud Noeud 2 (id 2) (donnees: (40.0, 2090.0)))
  Arete 226 (poids : 215) (noeuds : Noeud Noeud 15 (id 15) (donnees: (1280.0, 1200.0)), Noeud Noeud 16 (id 16) (donnees: (230.0, 590.0)))
  Arete 320 (poids : 251) (noeuds : Noeud Noeud 6 (id 6) (donnees: (1650.0, 650.0)), Noeud Noeud 16 (id 16) (donnees: (230.0, 590.0)))
  Arete 227 (poids : 72) (noeuds : Noeud Noeud 6 (id 6) (donnees: (1650.0, 650.0)), Noeud Noeud 24 (id 24) (donnees: (1280.0, 790.0)))
  Arete 291 (poids : 227) (noeuds : Noeud Noeud 3 (id 3) (donnees: (750.0, 1100.0)), Noeud Noeud 11 (id 11) (donnees: (1170.0, 2300.0)))
  Arete 292 (poids : 216) (noeuds : Noeud Noeud 6 (id 6) (donnees: (1650.0, 650.0)), Noeud Noeud 17 (id 17) (donnees: (460.0, 860.0)))
  Arete 230 (poids : 120) (noeuds : Noeud Noeud 24 (id 24) (donnees: (1280.0, 790.0)), Noeud Noeud 26 (id 26) (donnees: (1460.0, 1420.0)))
  Arete 231 (poids : 106) (noeuds : Noeud Noeud 14 (id 14) (donnees: (750.0, 900.0)), Noeud Noeud 15 (id 15) (donnees: (1280.0, 1200.0)))
  Arete 295 (poids : 249) (noeuds : Noeud Noeud 6 (id 6) (donnees: (1650.0, 650.0)), Noeud Noeud 20 (id 20) (donnees: (830.0, 1770.0)))
  Arete 258 (poids : 104) (noeuds : Noeud Noeud 9 (id 9) (donnees: (710.0, 1310.0)), Noeud Noeud 23 (id 23) (donnees: (1260.0, 1500.0)))
  Arete 233 (poids : 111) (noeuds : Noeud Noeud 5 (id 5) (donnees: (1030.0, 2070.0)), Noeud Noeud 23 (id 23) (donnees: (1260.0, 1500.0)))
  Arete 234 (poids : 46) (noeuds : Noeud Noeud 5 (id 5) (donnees: (1030.0, 2070.0)), Noeud Noeud 11 (id 11) (donnees: (1170.0, 2300.0)))
  Arete 298 (poids : 196) (noeuds : Noeud Noeud 13 (id 13) (donnees: (510.0, 700.0)), Noeud Noeud 23 (id 23) (donnees: (1260.0, 1500.0)))
  Arete 236 (poids : 117) (noeuds : Noeud Noeud 9 (id 9) (donnees: (710.0, 1310.0)), Noeud Noeud 13 (id 13) (donnees: (510.0, 700.0)))
  Arete 300 (poids : 83) (noeuds : Noeud Noeud 12 (id 12) (donnees: (970.0, 1340.0)), Noeud Noeud 26 (id 26) (donnees: (1460.0, 1420.0)))
  Arete 301 (poids : 144) (noeuds : Noeud Noeud 12 (id 12) (donnees: (970.0, 1340.0)), Noeud Noeud 13 (id 13) (donnees: (510.0, 700.0)))
  Arete 259 (poids : 281) (noeuds : Noeud Noeud 4 (id 4) (donnees: (750.0, 2030.0)), Noeud Noeud 21 (id 21) (donnees: (490.0, 500.0)))
  Arete 239 (poids : 205) (noeuds : Noeud Noeud 5 (id 5) (donnees: (1030.0, 2070.0)), Noeud Noeud 22 (id 22) (donnees: (1840.0, 1240.0)))
  Arete 240 (poids : 214) (noeuds : Noeud Noeud 5 (id 5) (donnees: (1030.0, 2070.0)), Noeud Noeud 14 (id 14) (donnees: (750.0, 900.0)))
  Arete 241 (poids : 102) (noeuds : Noeud Noeud 3 (id 3) (donnees: (750.0, 1100.0)), Noeud Noeud 10 (id 10) (donnees: (840.0, 550.0)))
  Arete 305 (poids : 201) (noeuds : Noeud Noeud 14 (id 14) (donnees: (750.0, 900.0)), Noeud Noeud 27 (id 27) (donnees: (1260.0, 1910.0)))
  Arete 243 (poids : 191) (noeuds : Noeud Noeud 10 (id 10) (donnees: (840.0, 550.0)), Noeud Noeud 26 (id 26) (donnees: (1460.0, 1420.0)))
  Arete 307 (poids : 258) (noeuds : Noeud Noeud 13 (id 13) (donnees: (510.0, 700.0)), Noeud Noeud 27 (id 27) (donnees: (1260.0, 1910.0)))
  Arete 323 (poids : 146) (noeuds : Noeud Noeud 10 (id 10) (donnees: (840.0, 550.0)), Noeud Noeud 12 (id 12) (donnees: (970.0, 1340.0)))
