Graphe Graphe comprenant 29 noeuds et 406 aretes
  Noeud Noeud 5 (id 5) (donnees: (1030.0, 2070.0))
  Noeud Noeud 6 (id 6) (donnees: (1650.0, 650.0))
  Noeud Noeud 7 (id 7) (donnees: (1490.0, 1630.0))
  Noeud Noeud 8 (id 8) (donnees: (790.0, 2260.0))
  Noeud Noeud 9 (id 9) (donnees: (710.0, 1310.0))
  Noeud Noeud 10 (id 10) (donnees: (840.0, 550.0))
  Noeud Noeud 11 (id 11) (donnees: (1170.0, 2300.0))
  Noeud Noeud 12 (id 12) (donnees: (970.0, 1340.0))
  Noeud Noeud 13 (id 13) (donnees: (510.0, 700.0))
  Noeud Noeud 14 (id 14) (donnees: (750.0, 900.0))
  Noeud Noeud 15 (id 15) (donnees: (1280.0, 1200.0))
  Noeud Noeud 16 (id 16) (donnees: (230.0, 590.0))
  Noeud Noeud 17 (id 17) (donnees: (460.0, 860.0))
  Noeud Noeud 22 (id 22) (donnees: (1840.0, 1240.0))
  Noeud Noeud 18 (id 18) (donnees: (1040.0, 950.0))
  Noeud Noeud 19 (id 19) (donnees: (590.0, 1390.0))
  Noeud Noeud 20 (id 20) (donnees: (830.0, 1770.0))
  Noeud Noeud 21 (id 21) (donnees: (490.0, 500.0))
  Noeud Noeud 0 (id 0) (donnees: (1150.0, 1760.0))
  Noeud Noeud 23 (id 23) (donnees: (1260.0, 1500.0))
  Noeud Noeud 24 (id 24) (donnees: (1280.0, 790.0))
  Noeud Noeud 25 (id 25) (donnees: (490.0, 2130.0))
  Noeud Noeud 26 (id 26) (donnees: (1460.0, 1420.0))
  Noeud Noeud 27 (id 27) (donnees: (1260.0, 1910.0))
  Noeud Noeud 28 (id 28) (donnees: (360.0, 1980.0))
  Noeud Noeud 1 (id 1) (donnees: (630.0, 1660.0))
  Noeud Noeud 2 (id 2) (donnees: (40.0, 2090.0))
  Noeud Noeud 3 (id 3) (donnees: (750.0, 1100.0))
  Noeud Noeud 4 (id 4) (donnees: (750.0, 2030.0))
  Arete 168 (poids : 428) (noeuds : 21, 11)
  Arete 34 (poids : 287) (noeuds : 16, 23)
  Arete 43 (poids : 182) (noeuds : 27, 19)
  Arete 147 (poids : 360) (noeuds : 8, 16)
  Arete 45 (poids : 125) (noeuds : 24, 14)
  Arete 363 (poids : 137) (noeuds : 1, 3)
  Arete 46 (poids : 233) (noeuds : 6, 7)
  Arete 220 (poids : 184) (noeuds : 22, 0)
  Arete 250 (poids : 185) (noeuds : 28, 5)
  Arete 47 (poids : 111) (noeuds : 20, 8)
  Arete 50 (poids : 175) (noeuds : 20, 14)
  Arete 246 (poids : 155) (noeuds : 15, 27)
  Arete 235 (poids : 79) (noeuds : 21, 17)
  Arete 222 (poids : 354) (noeuds : 24, 11)
  Arete 52 (poids : 75) (noeuds : 12, 15)
  Arete 116 (poids : 232) (noeuds : 23, 17)
  Arete 311 (poids : 134) (noeuds : 1, 8)
  Arete 54 (poids : 228) (noeuds : 24, 16)
  Arete 366 (poids : 209) (noeuds : 8, 12)
  Arete 345 (poids : 337) (noeuds : 26, 2)
  Arete 380 (poids : 204) (noeuds : 2, 19)
  Arete 281 (poids : 88) (noeuds : 1, 4)
  Arete 178 (poids : 189) (noeuds : 19, 26)
  Arete 56 (poids : 307) (noeuds : 4, 24)
  Arete 216 (poids : 150) (noeuds : 24, 12)
  Arete 57 (poids : 279) (noeuds : 10, 22)
  Arete 166 (poids : 122) (noeuds : 14, 16)
  Arete 58 (poids : 415) (noeuds : 16, 11)
  Arete 231 (poids : 175) (noeuds : 1, 14)
  Arete 355 (poids : 231) (noeuds : 12, 16)
  Arete 247 (poids : 424) (noeuds : 2, 24)
  Arete 177 (poids : 107) (noeuds : 3, 13)
  Arete 60 (poids : 248) (noeuds : 3, 8)
  Arete 167 (poids : 319) (noeuds : 4, 10)
  Arete 159 (poids : 181) (noeuds : 17, 24)
  Arete 61 (poids : 68) (noeuds : 18, 3)
  Arete 62 (poids : 241) (noeuds : 11, 26)
  Arete 330 (poids : 353) (noeuds : 21, 22)
  Arete 63 (poids : 222) (noeuds : 6, 3)
  Arete 274 (poids : 179) (noeuds : 18, 22)
  Arete 64 (poids : 67) (noeuds : 1, 19)
  Arete 192 (poids : 266) (noeuds : 27, 14)
  Arete 165 (poids : 141) (noeuds : 17, 10)
