Graphe Graphe comprenant 120 noeuds et 7140 aretes
  Noeud Noeud 5 (id 5) (donnees: (49.0, 57.0))
  Noeud Noeud 6 (id 6) (donnees: (80.0, 125.0))
  Noeud Noeud 7 (id 7) (donnees: (42.0, 93.0))
  Noeud Noeud 110 (id 110) (donnees: (16.0, 89.0))
  Noeud Noeud 8 (id 8) (donnees: (104.0, 94.0))
  Noeud Noeud 9 (id 9) (donnees: (35.0, 17.0))
  Noeud Noeud 89 (id 89) (donnees: (36.0, 73.0))
  Noeud Noeud 10 (id 10) (donnees: (118.0, 96.0))
  Noeud Noeud 11 (id 11) (donnees: (151.0, 22.0))
  Noeud Noeud 68 (id 68) (donnees: (94.0, 202.0))
  Noeud Noeud 75 (id 75) (donnees: (14.0, 138.0))
  Noeud Noeud 13 (id 13) (donnees: (57.0, 165.0))
  Noeud Noeud 111 (id 111) (donnees: (66.0, 50.0))
  Noeud Noeud 14 (id 14) (donnees: (18.0, 159.0))
  Noeud Noeud 78 (id 78) (donnees: (86.0, 230.0))
  Noeud Noeud 90 (id 90) (donnees: (111.0, 243.0))
  Noeud Noeud 16 (id 16) (donnees: (96.0, 170.0))
  Noeud Noeud 17 (id 17) (donnees: (63.0, 198.0))
  Noeud Noeud 69 (id 69) (donnees: (49.0, 96.0))
  Noeud Noeud 81 (id 81) (donnees: (108.0, 78.0))
  Noeud Noeud 82 (id 82) (donnees: (93.0, 12.0))
  Noeud Noeud 112 (id 112) (donnees: (98.0, 194.0))
  Noeud Noeud 20 (id 20) (donnees: (142.0, 72.0))
  Noeud Noeud 21 (id 21) (donnees: (48.0, 190.0))
  Noeud Noeud 91 (id 91) (donnees: (31.0, 150.0))
  Noeud Noeud 22 (id 22) (donnees: (106.0, 106.0))
  Noeud Noeud 23 (id 23) (donnees: (28.0, 102.0))
  Noeud Noeud 70 (id 70) (donnees: (55.0, 80.0))
  Noeud Noeud 24 (id 24) (donnees: (63.0, 224.0))
  Noeud Noeud 25 (id 25) (donnees: (58.0, 93.0))
  Noeud Noeud 113 (id 113) (donnees: (87.0, 45.0))
  Noeud Noeud 26 (id 26) (donnees: (103.0, 56.0))
  Noeud Noeud 27 (id 27) (donnees: (38.0, 149.0))
  Noeud Noeud 92 (id 92) (donnees: (130.0, 67.0))
  Noeud Noeud 28 (id 28) (donnees: (23.0, 138.0))
  Noeud Noeud 29 (id 29) (donnees: (22.0, 146.0))
  Noeud Noeud 71 (id 71) (donnees: (62.0, 123.0))
  Noeud Noeud 30 (id 30) (donnees: (32.0, 208.0))
  Noeud Noeud 31 (id 31) (donnees: (27.0, 144.0))
  Noeud Noeud 114 (id 114) (donnees: (132.0, 87.0))
  Noeud Noeud 32 (id 32) (donnees: (75.0, 258.0))
  Noeud Noeud 33 (id 33) (donnees: (59.0, 101.0))
  Noeud Noeud 93 (id 93) (donnees: (36.0, 172.0))
  Noeud Noeud 34 (id 34) (donnees: (41.0, 32.0))
  Noeud Noeud 35 (id 35) (donnees: (53.0, 46.0))
  Noeud Noeud 72 (id 72) (donnees: (91.0, 31.0))
  Noeud Noeud 36 (id 36) (donnees: (76.0, 19.0))
  Noeud Noeud 37 (id 37) (donnees: (79.0, 115.0))
  Noeud Noeud 115 (id 115) (donnees: (52.0, 99.0))
  Noeud Noeud 38 (id 38) (donnees: (109.0, 13.0))
  Noeud Noeud 39 (id 39) (donnees: (59.0, 118.0))
  Noeud Noeud 94 (id 94) (donnees: (132.0, 28.0))
  Noeud Noeud 40 (id 40) (donnees: (84.0, 147.0))
  Noeud Noeud 41 (id 41) (donnees: (95.0, 160.0))
  Noeud Noeud 73 (id 73) (donnees: (51.0, 142.0))
  Noeud Noeud 42 (id 42) (donnees: (87.0, 213.0))
  Noeud Noeud 43 (id 43) (donnees: (73.0, 166.0))
  Noeud Noeud 116 (id 116) (donnees: (50.0, 212.0))
  Noeud Noeud 44 (id 44) (donnees: (43.0, 153.0))
  Noeud Noeud 45 (id 45) (donnees: (81.0, 175.0))
  Noeud Noeud 95 (id 95) (donnees: (29.0, 73.0))
  Noeud Noeud 46 (id 46) (donnees: (59.0, 77.0))
  Noeud Noeud 47 (id 47) (donnees: (70.0, 68.0))
  Noeud Noeud 74 (id 74) (donnees: (64.0, 172.0))
  Noeud Noeud 48 (id 48) (donnees: (106.0, 169.0))
  Noeud Noeud 49 (id 49) (donnees: (86.0, 168.0))
  Noeud Noeud 117 (id 117) (donnees: (103.0, 176.0))
  Noeud Noeud 50 (id 50) (donnees: (127.0, 109.0))
  Noeud Noeud 51 (id 51) (donnees: (68.0, 243.0))
  Noeud Noeud 96 (id 96) (donnees: (150.0, 28.0))
  Noeud Noeud 52 (id 52) (donnees: (116.0, 57.0))
  Noeud Noeud 53 (id 53) (donnees: (39.0, 78.0))
  Noeud Noeud 12 (id 12) (donnees: (154.0, 182.0))
  Noeud Noeud 54 (id 54) (donnees: (54.0, 65.0))
  Noeud Noeud 55 (id 55) (donnees: (77.0, 141.0))
  Noeud Noeud 118 (id 118) (donnees: (84.0, 91.0))
  Noeud Noeud 56 (id 56) (donnees: (95.0, 24.0))
  Noeud Noeud 57 (id 57) (donnees: (89.0, 238.0))
  Noeud Noeud 97 (id 97) (donnees: (89.0, 166.0))
  Noeud Noeud 58 (id 58) (donnees: (9.0, 158.0))
  Noeud Noeud 59 (id 59) (donnees: (39.0, 109.0))
  Noeud Noeud 76 (id 76) (donnees: (120.0, 37.0))
  Noeud Noeud 60 (id 60) (donnees: (25.0, 129.0))
  Noeud Noeud 61 (id 61) (donnees: (69.0, 20.0))
  Noeud Noeud 119 (id 119) (donnees: (31.0, 140.0))
  Noeud Noeud 62 (id 62) (donnees: (104.0, 34.0))
  Noeud Noeud 63 (id 63) (donnees: (132.0, 51.0))
  Noeud Noeud 98 (id 98) (donnees: (58.0, 21.0))
  Noeud Noeud 64 (id 64) (donnees: (98.0, 207.0))
  Noeud Noeud 65 (id 65) (donnees: (37.0, 203.0))
  Noeud Noeud 77 (id 77) (donnees: (38.0, 160.0))
  Noeud Noeud 66 (id 66) (donnees: (80.0, 16.0))
  Noeud Noeud 67 (id 67) (donnees: (103.0, 224.0))
  Noeud Noeud 99 (id 99) (donnees: (78.0, 244.0))
  Noeud Noeud 15 (id 15) (donnees: (27.0, 123.0))
  Noeud Noeud 100 (id 100) (donnees: (82.0, 58.0))
  Noeud Noeud 79 (id 79) (donnees: (96.0, 59.0))
